hack-sign	.hack
afro-samurai-resurrection	Afro Samurai: Resurrection
afro-samurai-movie	Afro Samurai Movie
aiura	Aiura
air-master	Air Master
azumanga-daioh	Azumanga Daioh
aria-the-origination	Aria The Origination
aria-the-origination-sono-choppiri-himitsu-no-basho-ni	Aria The Origination: Sono Choppiri Himitsu no Basho ni...
aria-the-origination-picture-drama	Aria The Origination Picture Drama
ansatsu-kyoushitsu	Assassination Classroom
after-war-gundam-x	After War Gundam X
anime-de-wakaru-shinryounaika	Anime de Wakaru Shinryounaika
ani-ni-tsukeru-kusuri-wa-nai	Ani ni Tsukeru Kusuri wa Nai!
amagami-ss-plus	Amagami SS+ Plus
amagami-ss-plus-specials	Amagami SS+ Plus Specials
amnesia	Amnesia
akatsuki-no-yona-ova	Akatsuki no Yona OVA
argento-soma	Argento Soma
amagi-brilliant-park-specials	Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage
ano-natsu-de-matteru-ova	Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.
blade	Blade
busou-shinki	Busou Shinki
ben-to	Ben-To
5-cm-per-second	Byousoku 5 Centimeter
baka-to-test-to-shoukanjuu	Baka to Test to Shoukanjuu
baka-to-test-to-shoukanjuu-matsuri	Baka to Test to Shoukanjuu: Matsuri
baka-to-test-to-shoukanjuu-ni	Baka to Test to Shoukanjuu Ni!
bakuman	Bakuman.
blade-and-soul	Blade &amp; Soul
blame-movie	Blame! Movie
binan-koukou-chikyuu-bouei-bu-love-love-love	Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!
binbougami-ga	Binbougami ga!
black-lagoon-roberta-s-blood-trail	Black Lagoon: Roberta&#039;s Blood Trail
black-clover	Black Clover
bokura-ga-ita	Bokura ga Ita
beelzebub	Beelzebub
blood	Blood+
bartender	Bartender
bonobono-2016	Bonobono (2016)
barakamon	Barakamon
bokura-wa-minna-kawaisou	Bokura wa Minna Kawaisou
boku-dake-ga-inai-machi	Boku dake ga Inai Machi
brave-story	Brave Story
black-bullet	Black Bullet
bubuki-buranki	Bubuki Buranki
b-gata-h-kei	B Gata H Kei
basilisk-ouka-ninpouchou	Basilisk: Ouka Ninpouchou
beck	Beck
bakemonogatari	Bakemonogatari
blood-the-last-vampire	Blood: The Last Vampire
boruto-naruto-next-generations	Boruto: Naruto Next Generations
boruto-naruto-the-movie	Boruto: Naruto the Movie
bungou-stray-dogs	Bungou Stray Dogs
beatless	Beatless
berserk-2016	Berserk (2016)
bakuten-shoot-beyblade	Bakuten Shoot Beyblade
blue-gender	Blue Gender
ballroom-e-youkoso	Ballroom e Youkoso
black-cat	Black Cat
bungou-stray-dogs-2nd-season	Bungou Stray Dogs 2nd Season
battery	Battery
basilisk-kouga-ninpou-chou	Basilisk: Kouga Ninpou Chou
beet-the-vandel-buster	Beet the Vandel Buster
binan-koukou-chikyuu-bouei-bu-love-love	Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!
bokusatsu-tenshi-dokuro-chan	Bokusatsu Tenshi Dokuro-chan
break-blade-1	Break Blade 1: Kakusei no Toki
battle-girl-high-school-battle-girl-project	Battle Girl High School: Battle Girl Project
break-blade-2	Break Blade 2: Ketsubetsu no Michi
break-blade-3	Break Blade 3: Kyoujin no Ato
break-blade-4	Break Blade 4: Sanka no Chi
bakemono-no-ko	Bakemono no Ko
btooom	BTOOOM!
break-blade-5	Break Blade 5: Shisen no Hate
break-blade-6	Break Blade 6: Doukoku no Toride
burn-up-excess	Burn Up Excess
boku-no-hero-academia	Boku no Hero Academia
bannou-bunka-neko-musume-dash	Bannou Bunka Neko-Musume DASH!
bikini-warriors-ova	Bikini Warriors OVA
bang-dream	BanG Dream!
berserk	Berserk
brave-witches	Brave Witches
black-rock-shooter-tv	Black★Rock Shooter (TV)
bubuki-buranki-hoshi-no-kyojin	Bubuki Buranki: Hoshi no Kyojin
big-order-tv	Big Order (TV)
big-order	Big Order
bloodivores	Bloodivores
buzzer-beater	Buzzer Beater
berserk-2017	Berserk (2017)
boys-be	Boys Be...
bakuretsu-tenshi	Bakuretsu Tenshi
b-project-kodou-ambitious	B-Project: Kodou*Ambitious
busou-shoujo-machiavellianism	Busou Shoujo Machiavellianism
black-clover-tv	Black Clover (TV)
haganai	Boku wa Tomodachi ga Sukunai
bakuon	Bakuon!!
haganai-NEXT	Boku wa Tomodachi ga Sukunai Next
bananya	Bananya
bleach	Bleach
sailor-moon-crystal	Bishoujo Senshi Sailor Moon Crystal
sailor-moon-crystal-s3	Bishoujo Senshi Sailor Moon Crystal Season III
bakuman-2	Bakuman. 2
break-blade	Break Blade (TV)
bakuman-3	Bakuman. 3
break-blade-virgins-war	Break Blade (TV): Virgins War
brotherhood-final-fantasy-xv	Brotherhood: Final Fantasy XV
bakuretsu-hunters	Bakuretsu Hunters
baccano	Baccano!
baccano-ova	Baccano! Specials
bleach-memories-of-nobody	Bleach: Memories of Nobody
bleach-the-diamonddust-rebellion-mou-hitotsu-no-hyourinmaru	Bleach: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru
blend-s	Blend S
blue-dragon-the-seven-dragons-of-the-heavens	Blue Dragon: Tenkai no Shichi Ryuu
bleach-fade-to-black-kimi-no-na-wo-yobu	Bleach: Fade to Black - Kimi no Na wo Yobu
bernard-jou-iwaku	Bernard-jou Iwaku.
bubblegum-crisis-tokyo-2040	Bubblegum Crisis Tokyo 2040
